Date,Table Name,Metric,Region,Value,Bhutan (MU),Nepal (MU),Bangladesh (MU),Godda (Bangladesh) (MU),Bhutan Peak (MW),Nepal Peak (MW),Bangladesh Peak (MW),Godda (Bangladesh) Peak (MW),Import,Voltage Level,Line Details,No. of Circuit,Max Import (MW),Max Export (MW),Import (MU),Export (MU),NET Import (MU),State,Line Name,Max (MW),Min (MW),Avg (MW),Energy Exchange (MU)
4/30/2023,Regional Summary,Hydro,SR,50,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Nuclear,SR,69,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"Gas, Naptha & Diesel",SR,7,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"RES (Wind, Solar, Biomass & Others)",SR,171,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Total,SR,949,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Coal,ER,629,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Lignite,ER,0,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Hydro,ER,41,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Nuclear,ER,0,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"Gas, Naptha & Diesel",ER,0,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"RES (Wind, Solar, Biomass & Others)",ER,5,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Total,ER,675,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Coal,NER,11,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Lignite,NER,0,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Hydro,NER,15,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Nuclear,NER,0,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"Gas, Naptha & Diesel",NER,29,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"RES (Wind, Solar, Biomass & Others)",NER,1,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Total,NER,57,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Coal,TOTAL,3184,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Lignite,TOTAL,92,,,,,,,,,,,,,,,,,,,,,,,
