PDF_Path	Reason	Raw_Tables	Identified_Tables
Output\NLDC_PSP_URLS\2024-25\MAY\reports\15.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\14.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\13.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\12.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\11.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\10.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\09.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\08.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\07.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\06.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\05.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\04.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\03.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\02.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MAY\reports\01.05.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\MARCH\reports\31.03.25_NLDC_PSP.pdf	COUNT_CHANGE	17	16
Output\NLDC_PSP_URLS\2024-25\JUNE\reports\30.06.24_NLDC_PSP.pdf	COUNT_CHANGE	16	15
Output\NLDC_PSP_URLS\2024-25\JUNE\reports\27.06.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\JUNE\reports\26.06.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\JUNE\reports\25.06.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\JUNE\reports\24.06.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\JUNE\reports\23.06.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\JUNE\reports\19.06.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\JUNE\reports\18.06.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\JUNE\reports\17.06.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
