DateID,CountryID,TotalEnergyExchanged,PeakExchange
157,1,36.3,1669.6
157,2,9.5,457.0
157,3,-24.7,-1070.0
157,5,-33.5,-1482.0
158,1,32.8,1461.0
158,2,8.6,397.0
158,3,-25.3,-1106.0
158,5,-29.2,-1450.0
159,1,31.3,1430.0
159,2,9.1,414.0
159,3,-25.3,-1145.0
159,5,-32.5,-1443.0
160,1,31.7,1545.0
160,2,9.4,391.0
160,3,-25.2,-1106.0
160,5,-27.0,-1416.0
161,1,30.7,1499.0
161,2,11.0,435.0
161,3,-25.7,-1109.0
161,5,-27.0,-1416.1
162,1,32.2,1656.0
162,2,9.8,393.0
162,3,-26.0,-1097.0
162,5,-33.1,-1476.0
163,1,31.4,1511.9
163,2,10.5,443.0
163,3,-25.5,-1099.0
163,5,-31.9,-1408.0
164,1,33.8,1513.8
164,2,7.8,447.0
164,3,-25.4,-1105.0
164,5,-32.2,-1474.0
165,1,31.4,1576.3
165,2,9.7,409.0
165,3,-25.7,-1122.0
165,5,-31.3,-1421.0
166,1,27.2,1390.0
166,2,9.4,393.3
166,3,-25.7,-1119.0
166,5,-31.5,-1471.0
167,1,27.9,1559.0
167,2,9.7,385.0
167,3,-25.4,-1107.0
167,5,-31.5,-1465.0
168,1,23.0,1222.3
168,2,10.8,431.0
168,3,-25.5,-1107.0
168,5,-32.6,-1480.0
169,1,20.4,1060.2
169,2,9.6,439.0
169,3,-26.4,-1116.0
169,5,-33.6,-1483.3
170,1,21.0,1204.5
170,2,5.4,358.0
170,3,-25.5,-1121.0
170,5,-32.2,-1471.5
171,1,20.9,1046.0
171,2,11.0,467.0
171,3,-25.0,-1093.0
171,5,-31.1,-1456.0
172,1,19.4,1090.0
172,2,11.0,405.0
172,3,-23.4,-1095.0
172,5,-29.7,-1376.0
173,1,31.7,1621.0
173,2,10.3,464.0
173,3,-24.9,-1082.0
173,5,-28.7,-1347.0
174,1,34.8,1708.0
174,2,12.5,590.0
174,3,-24.7,-1080.0
174,5,-24.4,-1647.0
175,1,37.2,1697.0
175,2,15.0,608.0
175,3,-24.7,-1081.0
175,5,-24.7,-1669.0
176,1,34.7,1692.0
176,2,14.9,608.0
176,3,-24.4,-1096.0
176,5,-27.4,-1330.7
177,1,34.8,1708.0
177,2,14.6,647.7
177,3,-25.2,-1104.0
177,5,-28.7,-1329.0
178,1,34.5,1641.0
178,2,13.1,742.0
178,3,-25.0,-1091.0
178,5,-29.0,-1377.0
179,1,28.6,1748.5
179,2,11.8,581.1
179,3,-24.8,-1084.0
179,5,-30.7,-1428.0
180,1,26.0,1274.6
180,2,12.6,539.0
180,3,-24.7,-1081.0
180,5,-31.6,-1403.0
181,1,24.5,1312.2
181,2,13.0,462.0
181,3,-24.9,-1085.0
181,5,-31.5,-1446.0
182,1,23.3,1056.0
182,2,12.9,564.0
182,3,-24.8,-1093.0
182,5,-29.0,-1428.0
183,1,20.3,1056.0
183,2,13.9,556.0
183,3,-25.3,-1088.0
183,5,-29.7,-1332.0
184,1,25.4,1369.0
184,2,13.2,559.0
184,3,-25.3,-1089.0
184,5,-23.8,-1329.6
185,1,26.1,1356.8
185,2,11.5,576.0
185,3,-24.7,-1081.0
185,5,-23.9,-1329.6
186,1,36.0,2080.1
186,2,15.8,511.0
186,3,-24.2,-1052.0
186,5,-25.7,-1370.0
187,1,40.9,2063.8
187,2,14.9,600.0
187,3,-23.9,-1077.0
187,5,-25.8,-1276.4
188,1,38.7,1786.2
188,2,16.2,594.0
188,3,-23.9,-1062.0
188,5,-19.1,-1393.0
189,1,36.3,1713.3
189,2,16.2,622.0
189,3,-24.4,-1064.0
189,5,-22.5,-1744.0
190,1,34.4,1537.0
190,2,15.8,568.0
190,3,-24.0,-1047.0
190,5,-18.2,-1236.0
191,1,30.9,1601.0
191,2,14.4,579.0
191,3,-24.4,-1082.0
191,5,-12.3,-525.0
192,1,26.8,1360.0
192,2,14.2,574.0
192,3,-24.6,-1087.0
192,5,-12.5,-532.3
193,1,27.3,1371.1
193,2,10.0,462.0
193,3,-24.5,-1082.0
193,5,-12.3,-530.0
194,1,25.8,1371.0
194,2,15.1,593.0
194,3,-24.5,-1082.0
194,5,-12.3,-549.0
195,1,23.8,1204.1
195,2,15.2,625.0
195,3,-24.3,-1080.0
195,5,-12.3,-549.0
196,1,21.2,1167.9
196,2,16.0,597.0
196,3,-24.5,-1078.0
196,5,-12.4,-550.0
197,1,20.0,944.5
197,2,15.0,576.0
197,3,-24.5,-1079.0
197,5,-12.6,-547.0
198,1,17.7,870.0
198,2,14.4,553.0
198,3,-24.4,-1073.0
198,5,-12.4,-526.0
199,1,16.1,693.0
199,2,14.2,583.0
199,3,-24.0,-1070.0
199,5,-12.5,-536.0
200,1,14.9,769.0
200,2,12.3,579.0
200,3,-23.9,-1070.0
200,5,-12.4,-545.6
201,1,13.5,605.0
201,2,15.4,610.0
201,3,-23.8,-1058.0
201,5,-12.4,-521.4
202,1,12.5,614.1
202,2,15.0,594.0
202,3,-22.3,-1037.0
202,5,-12.3,-542.0
203,1,10.8,601.0
203,2,16.6,635.0
203,3,-23.9,-1046.0
203,5,-12.3,-524.7
204,1,11.0,472.7
204,2,17.0,654.0
204,3,-24.6,-1041.0
204,5,-14.4,-935.0
205,1,9.3,422.5
205,2,17.1,861.0
205,3,-25.0,-1080.0
205,5,-25.2,-1251.0
206,1,8.5,392.0
206,2,18.7,861.0
206,3,-24.8,-1060.0
206,5,-23.0,-1124.0
207,1,8.1,354.0
207,2,16.7,650.0
207,3,-22.7,-1074.0
207,5,-23.1,-1161.0
208,1,6.9,346.0
208,2,16.2,650.0
208,3,-25.1,-1069.0
208,5,-26.8,-1336.6
209,1,5.8,352.0
209,2,15.9,565.0
209,3,-24.9,-1061.0
209,5,-26.8,-1336.6
210,1,5.3,328.5
210,2,12.2,557.0
210,3,-25.0,-1072.0
210,5,-22.6,-1182.0
211,1,5.0,296.5
211,2,14.5,556.0
211,3,-25.1,-1070.0
211,5,-23.2,-1179.0
212,1,5.6,319.8
212,2,11.5,462.0
212,3,-24.8,-1070.0
212,5,-24.8,-1220.0
213,1,4.0,247.2
213,2,11.6,434.0
213,3,-24.6,-1072.0
213,5,-22.5,-1292.0
214,1,4.0,219.0
214,2,9.2,407.0
214,3,-24.9,-1082.0
214,5,-25.3,-1299.0
215,1,3.5,176.0
215,2,10.3,382.0
215,3,-24.8,-1081.0
215,5,-26.3,-1373.0
216,1,1.8,180.0
216,2,8.5,374.0
216,3,-24.6,-1074.0
216,5,-23.2,-1275.2
217,1,2.8,220.3
217,2,10.0,449.0
217,3,-22.3,-1075.0
217,5,-26.3,-1321.6
218,1,1.8,133.8
218,2,10.3,413.0
218,3,-22.0,-940.0
