DateID,LineID,CountryID,StateID,RegionID,MaxLoading,MinLoading,AvgLoading,EnergyExchanged
630,72,2.0,,4.0,-68.0,-41.0,-56.0,-1.34
630,73,2.0,,4.0,-290.0,-4.0,-135.0,-3.24
630,74,3.0,,4.0,-926.0,-542.0,-838.0,-20.11
630,75,3.0,,4.0,-748.0,-409.0,-516.0,-12.4
630,76,3.0,,5.0,-48.0,0.0,-34.0,-0.82
631,66,1.0,,4.0,-139.0,107.0,-30.0,-0.71
631,67,1.0,,4.0,244.0,-203.0,-37.0,-0.88
631,68,1.0,,4.0,-251.0,-140.0,-203.0,-4.87
631,69,1.0,,5.0,-28.0,-4.0,-22.0,-0.52
631,70,1.0,,5.0,7.0,-4.0,0.0,0.01
631,71,2.0,,1.0,-53.0,0.0,-27.0,-0.65
631,72,2.0,,4.0,-98.0,-41.0,-58.0,-1.4
631,73,2.0,,4.0,-440.0,-138.0,-156.0,-3.74
631,74,3.0,,4.0,-931.0,-644.0,-858.0,-20.6
631,75,3.0,,4.0,-768.0,-407.0,-620.0,-14.87
631,76,3.0,,5.0,-85.0,0.0,-47.0,-1.13
632,66,1.0,,4.0,-135.0,120.0,-31.0,-0.74
632,67,1.0,,4.0,220.0,-201.0,-37.0,-0.89
632,68,1.0,,4.0,-259.0,-135.0,-208.0,-4.98
632,69,1.0,,5.0,-37.0,0.0,-23.0,-0.56
632,70,1.0,,5.0,11.0,0.0,2.0,0.04
632,71,2.0,,1.0,-64.0,0.0,-36.0,-0.87
632,72,2.0,,4.0,-109.0,-50.0,-70.0,-1.67
632,73,2.0,,4.0,-440.0,-138.0,-150.0,-3.61
632,74,3.0,,4.0,-930.0,-642.0,-868.0,-20.83
632,75,3.0,,4.0,-775.0,-405.0,-682.0,-16.36
632,76,3.0,,5.0,-90.0,0.0,-44.0,-1.06
633,66,1.0,,4.0,-165.0,156.0,-42.0,-1.02
633,67,1.0,,4.0,271.0,-234.0,-44.0,-1.04
633,68,1.0,,4.0,-255.0,-114.0,-201.0,-4.82
633,69,1.0,,5.0,-32.0,-24.0,-25.0,-0.6
633,70,1.0,,5.0,-8.0,5.0,-2.0,-0.05
633,71,2.0,,1.0,0.0,0.0,0.0,0.0
633,72,2.0,,4.0,-117.0,-41.0,-70.0,-1.69
633,73,2.0,,4.0,-333.0,2.0,-158.0,-3.79
633,74,3.0,,4.0,-943.0,-652.0,-881.0,-21.15
633,75,3.0,,4.0,-769.0,-405.0,-655.0,-15.71
633,76,3.0,,5.0,-96.0,0.0,-51.0,-1.22
634,66,1.0,,4.0,-169.0,131.0,-42.0,-1.01
634,67,1.0,,4.0,-222.0,191.0,-60.0,-1.43
634,68,1.0,,4.0,-262.0,-119.0,-195.0,-4.68
634,69,1.0,,5.0,-32.0,0.0,-25.0,-0.61
634,70,1.0,,5.0,-10.0,-2.0,-5.0,-0.13
634,71,2.0,,1.0,-55.0,0.0,-34.0,-0.82
634,72,2.0,,4.0,-156.0,-54.0,-82.0,-1.96
634,73,2.0,,4.0,-198.0,32.0,67.0,1.61
634,74,3.0,,4.0,-943.0,-656.0,-876.0,-21.02
634,75,3.0,,4.0,-771.0,-407.0,-583.0,-13.98
634,76,3.0,,5.0,-66.0,0.0,-50.0,-1.2
635,66,1.0,,4.0,-178.0,143.0,-57.0,-1.37
635,67,1.0,,4.0,-239.0,193.0,-58.0,-1.39
635,68,1.0,,4.0,-257.0,-114.0,-194.0,-4.65
635,69,1.0,,5.0,-36.0,0.0,-27.0,-0.64
635,70,1.0,,5.0,-11.0,2.0,-7.0,-0.17
635,71,2.0,,1.0,-59.0,0.0,-33.0,-0.79
635,72,2.0,,4.0,-164.0,0.0,-79.0,-1.9
635,73,2.0,,4.0,-258.0,-49.0,-52.0,-1.24
635,74,3.0,,4.0,-941.0,-652.0,-878.0,-21.08
635,75,3.0,,4.0,-763.0,-400.0,-582.0,-13.98
635,76,3.0,,5.0,-62.0,0.0,-49.0,-1.18
636,66,1.0,,4.0,-184.0,99.0,-44.0,-1.06
636,67,1.0,,4.0,-244.0,203.0,-35.0,-0.85
636,68,1.0,,4.0,-251.0,-90.0,-183.0,-4.38
636,69,1.0,,5.0,-34.0,-7.0,-23.0,-0.56
636,70,1.0,,5.0,6.0,-9.0,0.0,0.0
636,71,2.0,,1.0,-57.0,0.0,-35.0,-0.84
636,72,2.0,,4.0,-164.0,-34.0,-81.0,-1.95
