DateID,CountryID,MechanismID,ExchangeDirection,ExchangeValue
106,8,8,NET,0.0
107,1,1,Export,0.0
107,1,2,Export,0.0
107,1,3,Export,0.0
107,1,4,Export,0.0
107,1,5,Export,0.0
107,1,6,Export,0.0
107,1,7,Export,0.0
107,1,8,Export,0.0
107,2,1,Export,0.1
107,2,2,Export,0.0
107,2,3,Export,0.13
107,2,4,Export,0.0
107,2,5,Export,0.0
107,2,6,Export,0.0
107,2,7,Export,0.0
107,2,8,Export,0.0
107,3,1,Export,21.71
107,3,2,Export,0.0
107,3,3,Export,0.0
107,3,4,Export,0.0
107,3,5,Export,0.0
107,3,6,Export,0.0
107,3,7,Export,0.0
107,3,8,Export,0.0
107,4,1,Export,0.0
107,4,2,Export,0.0
107,4,3,Export,0.0
107,4,4,Export,0.0
107,4,5,Export,0.0
107,4,6,Export,0.0
107,4,7,Export,0.0
107,4,8,Export,0.0
107,6,1,Export,21.81
107,6,2,Export,0.0
107,6,3,Export,0.13
107,6,4,Export,0.0
107,6,5,Export,0.0
107,6,6,Export,0.0
107,6,7,Export,0.0
107,6,8,Export,0.0
107,1,1,Import,40.92
107,1,2,Import,2.34
107,1,3,Import,0.0
107,1,4,Import,0.0
107,1,5,Import,0.0
107,1,6,Import,0.0
107,1,7,Import,0.0
107,1,8,Import,0.0
107,2,1,Import,0.0
107,2,2,Import,0.0
107,2,3,Import,8.46
107,2,4,Import,0.0
107,2,5,Import,0.0
107,2,6,Import,0.0
107,2,7,Import,0.0
107,2,8,Import,0.0
107,3,1,Import,0.0
107,3,2,Import,0.0
107,3,3,Import,0.0
107,3,4,Import,0.0
107,3,5,Import,0.0
107,3,6,Import,0.0
107,3,7,Import,0.0
107,3,8,Import,0.0
107,4,1,Import,0.0
107,4,2,Import,0.0
107,4,3,Import,0.0
107,4,4,Import,0.0
107,4,5,Import,0.0
107,4,6,Import,0.0
107,4,7,Import,0.0
107,4,8,Import,0.0
107,7,1,Import,40.92
107,7,2,Import,2.34
107,7,3,Import,8.46
107,7,4,Import,0.0
107,7,5,Import,0.0
107,7,6,Import,0.0
107,7,7,Import,0.0
107,7,8,Import,0.0
107,1,1,NET,40.92
107,1,2,NET,2.34
107,1,3,NET,0.0
107,1,4,NET,0.0
107,1,5,NET,0.0
107,1,6,NET,0.0
107,1,7,NET,0.0
107,1,8,NET,0.0
107,2,1,NET,-0.1
107,2,2,NET,0.0
107,2,3,NET,8.33
107,2,4,NET,0.0
107,2,5,NET,0.0
107,2,6,NET,0.0
107,2,7,NET,0.0
107,2,8,NET,0.0
107,3,1,NET,-21.71
107,3,2,NET,0.0
107,3,3,NET,0.0
107,3,4,NET,0.0
107,3,5,NET,0.0
107,3,6,NET,0.0
107,3,7,NET,0.0
107,3,8,NET,0.0
107,4,1,NET,0.0
107,4,2,NET,0.0
107,4,3,NET,0.0
107,4,4,NET,0.0
107,4,5,NET,0.0
107,4,6,NET,0.0
107,4,7,NET,0.0
107,4,8,NET,0.0
107,8,1,NET,19.11
107,8,2,NET,2.34
107,8,3,NET,8.33
107,8,4,NET,0.0
107,8,5,NET,0.0
107,8,6,NET,0.0
107,8,7,NET,0.0
107,8,8,NET,0.0
115,1,1,Export,0.0
115,1,2,Export,0.0
115,1,3,Export,0.0
115,1,4,Export,0.0
115,1,5,Export,0.0
115,1,6,Export,0.0
115,1,7,Export,0.0
115,1,8,Export,0.0
115,2,1,Export,0.1
115,2,2,Export,0.0
115,2,3,Export,0.77
115,2,4,Export,0.0
115,2,5,Export,0.0
115,2,6,Export,0.0
115,2,7,Export,0.0
115,2,8,Export,0.0
115,3,1,Export,21.74
115,3,2,Export,0.0
115,3,3,Export,0.0
115,3,4,Export,0.0
115,3,5,Export,0.0
115,3,6,Export,0.0
115,3,7,Export,0.0
115,3,8,Export,0.0
115,4,1,Export,0.0
115,4,2,Export,0.0
115,4,3,Export,0.0
115,4,4,Export,0.0
115,4,5,Export,0.0
115,4,6,Export,0.0
115,4,7,Export,0.0
115,4,8,Export,0.0
115,6,1,Export,21.84
115,6,2,Export,0.0
115,6,3,Export,0.77
115,6,4,Export,0.0
115,6,5,Export,0.0
115,6,6,Export,0.0
115,6,7,Export,0.0
115,6,8,Export,0.0
115,1,1,Import,38.52
115,1,2,Import,1.71
115,1,3,Import,0.0
115,1,4,Import,0.0
115,1,5,Import,0.0
115,1,6,Import,0.0
115,1,7,Import,0.0
115,1,8,Import,0.0
115,2,1,Import,0.0
115,2,2,Import,0.0
115,2,3,Import,6.07
115,2,4,Import,0.0
115,2,5,Import,0.0
115,2,6,Import,0.0
115,2,7,Import,0.0
115,2,8,Import,0.0
115,3,1,Import,0.0
115,3,2,Import,0.0
115,3,3,Import,0.0
115,3,4,Import,0.0
115,3,5,Import,0.0
115,3,6,Import,0.0
115,3,7,Import,0.0
115,3,8,Import,0.0
115,4,1,Import,0.0
115,4,2,Import,0.0
115,4,3,Import,0.0
115,4,4,Import,0.0
115,4,5,Import,0.0
115,4,6,Import,0.0
115,4,7,Import,0.0
115,4,8,Import,0.0
115,7,1,Import,38.52
115,7,2,Import,1.71
115,7,3,Import,6.07
115,7,4,Import,0.0
115,7,5,Import,0.0
115,7,6,Import,0.0
115,7,7,Import,0.0
115,7,8,Import,0.0
115,1,1,NET,38.52
115,1,2,NET,1.71
115,1,3,NET,0.0
115,1,4,NET,0.0
115,1,5,NET,0.0
115,1,6,NET,0.0
115,1,7,NET,0.0
115,1,8,NET,0.0
115,2,1,NET,-0.1
115,2,2,NET,0.0
115,2,3,NET,5.3
115,2,4,NET,0.0
115,2,5,NET,0.0
115,2,6,NET,0.0
115,2,7,NET,0.0
115,2,8,NET,0.0
115,3,1,NET,-21.74
115,3,2,NET,0.0
115,3,3,NET,0.0
115,3,4,NET,0.0
115,3,5,NET,0.0
115,3,6,NET,0.0
115,3,7,NET,0.0
115,3,8,NET,0.0
115,4,1,NET,0.0
115,4,2,NET,0.0
115,4,3,NET,0.0
115,4,4,NET,0.0
115,4,5,NET,0.0
115,4,6,NET,0.0
115,4,7,NET,0.0
115,4,8,NET,0.0
115,8,1,NET,16.68
115,8,2,NET,1.71
115,8,3,NET,5.3
115,8,4,NET,0.0
