DateID,RegionID,GenerationSourceID,GenerationAmount
18,2,11,73.0
18,2,10,65.96
18,2,1,1624.0
18,2,2,15.0
18,2,9,35.0
18,2,6,53.0
18,2,14,141.0
19,4,8,48.0
19,4,10,2.65
19,4,1,715.0
19,4,2,0.0
19,4,9,0.0
19,4,6,0.0
19,4,14,3.0
19,5,8,9.0
19,5,10,0.98
19,5,1,17.0
19,5,2,0.0
19,5,9,0.0
19,5,6,30.0
19,5,14,1.0
19,1,8,188.0
19,1,11,15.0
19,1,10,122.53
19,1,1,821.0
19,1,2,25.0
19,1,9,30.0
19,1,6,42.0
19,1,14,156.0
19,3,8,78.0
19,3,11,33.0
19,3,10,125.23
19,3,1,770.0
19,3,2,67.0
19,3,9,69.0
19,3,6,6.0
19,3,14,192.0
19,6,8,369.0
19,6,11,165.0
19,6,10,317.0
19,6,1,3906.0
19,6,2,107.0
19,6,9,134.0
19,6,6,129.0
19,6,14,536.0
19,2,8,46.0
19,2,11,117.0
19,2,10,65.53
19,2,1,1583.0
19,2,2,15.0
19,2,9,35.0
19,2,6,50.0
19,2,14,184.0
20,4,8,54.0
20,4,10,2.66
20,4,1,688.0
20,4,2,0.0
20,4,9,0.0
20,4,6,0.0
20,4,14,3.0
20,5,8,14.0
20,5,10,1.08
20,5,1,16.0
20,5,2,0.0
20,5,9,0.0
20,5,6,31.0
20,5,14,1.0
20,1,8,219.0
20,1,11,21.0
20,1,10,132.92
20,1,1,817.0
20,1,2,25.0
20,1,9,30.0
20,1,6,22.0
20,1,14,174.0
20,3,8,76.0
20,3,11,61.0
20,3,10,121.84
20,3,1,771.0
20,3,2,61.0
20,3,9,51.0
20,3,6,6.0
20,3,14,216.0
20,6,8,401.0
20,6,11,199.0
20,6,10,322.0
20,6,1,3872.0
20,6,2,102.0
20,6,9,116.0
20,6,6,71.0
20,6,14,576.0
20,2,8,39.0
20,2,11,117.0
20,2,10,63.88
20,2,1,1579.0
20,2,2,17.0
20,2,9,34.0
20,2,6,11.0
20,2,14,182.0
21,4,8,47.0
21,4,10,4.78
21,4,1,658.0
21,4,2,0.0
21,4,9,0.0
21,4,6,0.0
21,4,14,5.0
21,5,8,13.0
21,5,10,0.83
21,5,1,15.0
21,5,2,0.0
21,5,9,0.0
21,5,6,29.0
21,5,14,1.0
21,1,8,218.0
21,1,11,11.0
21,1,10,146.71
