DateID,StateID,MaximumDemand,Shortage,EnergyMet,DrawalSchedule,OverUnderDrawal,MaxOverDrawal,EnergyShortage
6,14,27429.0,0.0,555.6,197.9,1.3,915.0,0.0
6,15,675.0,0.0,13.8,13.8,-0.4,71.0,0.0
6,16,1222.0,0.0,28.1,28.6,-0.5,69.0,0.0
6,17,785.0,0.0,17.3,7.4,0.6,304.0,0.0
6,18,519.0,0.0,12.4,12.4,0.0,15.0,0.0
6,20,11520.0,0.0,233.1,81.4,0.4,422.0,0.0
6,21,13849.0,0.0,270.0,138.2,0.8,793.0,0.0
6,22,15681.0,0.0,294.9,136.7,2.4,1167.0,0.0
6,23,4195.0,0.0,89.1,68.2,-0.2,240.0,0.0
6,24,18252.0,0.0,378.4,227.9,2.8,833.0,0.0
6,25,432.0,0.0,10.1,9.8,-0.4,18.0,0.0
6,26,5566.0,0.0,102.9,90.9,-1.4,274.0,0.57
6,27,3413.0,0.0,73.0,-48.5,0.1,565.0,0.0
6,28,1377.0,0.0,30.2,23.5,-0.3,148.0,2.61
6,29,5412.0,0.0,107.3,36.5,-2.8,319.0,0.0
6,30,8953.0,0.0,191.5,51.2,-2.5,285.0,0.0
6,31,102.0,0.0,1.6,1.5,0.1,62.0,0.0
6,33,146.0,0.0,2.5,2.3,0.1,88.0,0.0
6,34,1642.0,0.0,28.5,21.6,-0.2,83.0,0.0
6,35,198.0,0.0,2.7,2.7,0.0,26.0,0.0
6,36,302.0,50.0,5.1,3.1,0.1,61.0,1.34
6,37,123.0,0.0,1.9,1.6,-0.1,20.0,0.0
6,38,126.0,0.0,2.1,2.1,0.0,18.0,0.0
6,39,260.0,0.0,4.4,4.6,0.6,48.0,0.0
7,1,6142.0,0.0,129.3,34.8,-1.2,88.0,0.47
7,2,6646.0,0.0,128.6,91.3,-0.5,181.0,0.0
7,3,11329.0,0.0,229.3,31.5,-4.9,245.0,0.0
7,4,3766.0,0.0,74.0,73.3,-1.8,105.0,0.0
7,5,18745.0,0.0,329.3,97.0,-0.2,1413.0,0.0
7,6,1952.0,0.0,39.3,27.5,0.3,108.0,0.19
7,7,1749.0,0.0,32.3,21.6,0.3,103.0,0.24
7,8,2875.0,0.0,56.3,49.1,-1.7,215.0,0.0
7,9,179.0,0.0,3.3,3.2,0.1,24.0,0.0
7,10,149.0,0.0,3.2,3.2,0.0,18.0,0.0
7,11,5153.0,0.0,116.2,62.0,-1.1,278.0,0.0
7,12,19488.0,0.0,428.5,213.5,1.1,826.0,0.0
7,13,11318.0,0.0,239.0,142.1,-2.7,621.0,0.0
7,14,27349.0,0.0,522.8,190.1,-2.3,663.0,0.0
7,15,685.0,0.0,13.9,13.8,-0.4,61.0,0.0
7,16,1252.0,0.0,28.9,29.2,-0.3,39.0,0.0
7,17,763.0,0.0,16.6,7.6,0.3,293.0,0.0
7,18,519.0,0.0,12.4,12.4,0.0,12.0,0.0
7,20,11668.0,0.0,233.5,83.0,1.4,638.0,0.0
7,21,13560.0,0.0,265.3,135.5,-0.3,646.0,0.0
7,22,14332.0,0.0,277.1,130.8,0.8,908.0,0.0
7,23,4117.0,0.0,83.3,63.0,-0.5,193.0,0.0
7,24,17848.0,0.0,379.0,243.3,1.1,741.0,0.0
7,25,414.0,0.0,9.8,9.7,-0.6,9.0,0.0
7,26,5751.0,0.0,105.1,93.3,-1.5,263.0,0.82
7,27,3566.0,0.0,75.7,-48.2,-0.3,496.0,0.0
