DateID,LineID,Inter_Region,MaxImport,MaxExport,ImportEnergy,ExportEnergy,NetImportEnergy
9,12,ER-NR,135.0,488.0,,,
9,11,ER-NR,250.0,237.0,,,
9,14,ER-NR,0.0,170.0,,,
9,15,ER-NR,0.0,0.0,,,
9,16,ER-NR,25.0,0.0,,,
9,17,ER-NR,0.0,51.0,,,
9,18,ER-NR,0.0,0.0,,,
9,19,ER-WR,1692.0,0.0,,,
9,20,ER-WR,469.0,691.0,,,
9,21,ER-WR,0.0,776.0,,,
9,22,ER-WR,0.0,638.0,,,
9,23,ER-WR,64.0,251.0,,,
9,24,ER-WR,0.0,140.0,,,
9,25,ER-WR,108.0,30.0,,,
9,26,ER-SR,0.0,651.0,,,
9,27,ER-SR,0.0,1932.0,,,
9,28,ER-SR,0.0,2989.0,,,
9,29,ER-SR,312.0,103.0,,,
9,30,ER-SR,0.0,0.0,,,
9,31,ER-NER,226.0,0.0,,,
9,32,ER-NER,725.0,0.0,,,
9,33,ER-NER,126.0,0.0,,,
9,34,NER-NR,659.0,0.0,,,
9,35,WR-NR,0.0,495.0,,,
9,36,WR-NR,138.0,0.0,,,
9,37,WR-NR,0.0,1000.0,,,
9,38,WR-NR,101.0,2195.0,,,
9,39,WR-NR,360.0,1898.0,,,
9,40,WR-NR,111.0,961.0,,,
9,41,WR-NR,1005.0,0.0,,,
9,42,WR-NR,0.0,1087.0,,,
9,43,WR-NR,2402.0,0.0,,,
9,44,WR-NR,0.0,2178.0,,,
9,45,WR-NR,453.0,0.0,,,
9,46,WR-NR,807.0,0.0,,,
9,47,WR-NR,855.0,0.0,,,
9,48,WR-NR,620.0,480.0,,,
9,50,WR-NR,0.0,0.0,,,
9,51,WR-NR,0.0,30.0,,,
9,52,WR-NR,100.0,0.0,,,
9,53,WR-NR,83.0,0.0,,,
9,54,WR-NR,0.0,0.0,,,
9,55,WR-NR,0.0,0.0,,,
9,56,WR-SR,0.0,1016.0,,,
9,57,WR-SR,0.0,6017.0,,,
9,58,WR-SR,793.0,1668.0,,,
9,59,WR-SR,0.0,2856.0,,,
9,61,WR-SR,1257.0,0.0,,,
9,62,WR-SR,0.0,0.0,,,
9,63,WR-SR,0.0,0.0,,,
9,64,WR-SR,0.0,132.0,,,
10,1,ER-NR,0.0,0.0,,,
10,2,ER-NR,0.0,296.0,,,
10,3,ER-NR,0.0,848.0,,,
10,4,ER-NR,0.0,406.0,,,
10,5,ER-NR,0.0,574.0,,,
10,6,ER-NR,0.0,229.0,,,
10,7,ER-NR,0.0,147.0,,,
10,8,ER-NR,249.0,697.0,,,
10,9,ER-NR,0.0,500.0,,,
10,10,ER-NR,20.0,511.0,,,
10,12,ER-NR,7.0,549.0,,,
10,11,ER-NR,141.0,338.0,,,
10,14,ER-NR,0.0,197.0,,,
10,15,ER-NR,0.0,0.0,,,
10,16,ER-NR,25.0,0.0,,,
10,17,ER-NR,0.0,44.0,,,
10,18,ER-NR,0.0,0.0,,,
10,19,ER-WR,1477.0,0.0,,,
10,20,ER-WR,277.0,892.0,,,
10,21,ER-WR,0.0,891.0,,,
10,22,ER-WR,0.0,642.0,,,
10,23,ER-WR,60.0,280.0,,,
10,24,ER-WR,0.0,149.0,,,
10,25,ER-WR,69.0,24.0,,,
10,26,ER-SR,0.0,653.0,,,
10,27,ER-SR,0.0,1643.0,,,
10,28,ER-SR,0.0,3154.0,,,
10,29,ER-SR,276.0,0.0,,,
10,30,ER-SR,0.0,0.0,,,
10,31,ER-NER,184.0,100.0,,,
10,32,ER-NER,576.0,217.0,,,
10,33,ER-NER,101.0,37.0,,,
10,34,NER-NR,489.0,0.0,,,
10,35,WR-NR,0.0,997.0,,,
10,36,WR-NR,272.0,0.0,,,
10,37,WR-NR,0.0,501.0,,,
10,38,WR-NR,148.0,1939.0,,,
10,39,WR-NR,177.0,1794.0,,,
10,40,WR-NR,156.0,929.0,,,
10,41,WR-NR,835.0,0.0,,,
10,42,WR-NR,0.0,1020.0,,,
10,43,WR-NR,2492.0,0.0,,,
10,44,WR-NR,0.0,1955.0,,,
10,45,WR-NR,451.0,0.0,,,
10,46,WR-NR,767.0,0.0,,,
10,47,WR-NR,855.0,0.0,,,
